番号,単語,意味,解説文
1561,spouse,配偶者,
1589,swift,素早い,
1592,sore,痛い；腹が立って,
1595,susceptible,（～の）影響を受けやすい；感染しやすい,
1597,sheer,純然たる，真の；すごい；（布が）薄地の,
1605,surge,殺到する；（感情が）こみ上げる；急騰する,
1609,snap,をパチンと鳴らす；をポキッと折る；ポキッと折れる,
1617,stray,はぐれる，（道に）迷う,
1630,smash,を粉砕する；を強打する；粉々に壊れる,
1632,sprawl,（都市などが）不規則に広がる；だらしなく手足を伸ばす,
1654,superstition,迷信,
1662,sorrow,悲しみ,
1665,stall,露店；エンスト；失速,
1675,sanitation,公衆衛生（学）；下水設備,
1677,scope,（活動・能力などの）範囲；余地,
1678,sentiment,感情；感想；感傷,
1691,subordinate,（～より）下位の；副次的な,
1706,stack,を積む，積み重ねる；（車が）渋滞する,
1712,sneeze,くしゃみをする,
1720,surrender,を放棄する，引き渡す；（～に）屈する,
1722,suck,（を）吸う；（を）しゃぶる,
1725,soothe,をなだめる；を和らげる,
1726,stain,を汚す；に着色する,
1727,shun,を避ける,
1728,stumble,よろけながら歩く；（～に）つまずく,
1758,staple,必需食品；主要産物,
1761,supervisor,監督者；指導教員,
1769,symmetry,（左右）対称；調和,
1777,specimen,標本；実例,
1784,stern,厳しい；いかめしい,
1785,stubborn,頑固な，強情な；手に負えない,
1789,stiff,硬直した，凝った；堅い,
1802,simulate,を模擬実験する；を装う；をまねる,
1817,swear,（～を）ののしる；（を）誓う,
1848,solitude,ひとりでいること；孤独,
1860,sewage,下水,
1862,subsidy,補助金；報奨金,
1868,synthesis,合成；総合,
